tag,category,count,,
garter_straps,0,76740,,
fruit,0,76430,,
holding_hands,0,76368,,
blue_jacket,0,76298,,
witch_hat,0,76249,,
white_bow,0,76186,,
clothes_pull,0,76119,,
colored_inner_hair,0,75893,,
arms_behind_back,0,75890,,
wariza,0,75883,,
4girls,0,75858,,
facial_mark,0,75765,,
floral_print,0,75519,,
sunglasses,0,75506,,
hatsune_miku,4,75449,,
holding_food,0,75424,,
fox_girl,0,75355,,
thigh_boots,0,75299,,
squatting,0,75051,,
testicles,0,74887,,
glowing,0,74844,,
bird,0,74754,,
shirt_lift,0,74742,,
bob_cut,0,74297,,
white_flower,0,74215,,
leaf,0,74100,,
demon_girl,0,73611,,
pink_background,0,73428,,
thigh_gap,0,73339,,
from_below,0,73292,,
chair,0,72356,,
^_^,0,72223,,
headphones,0,72156,,
animal,0,71883,,
wolf_ears,0,71866,,
scar,0,71630,,
drill_hair,0,71624,,
military,0,71020,,
bandages,0,70812,,
standing_on_one_leg,0,70710,,
hololive_english,3,70629,,
fire_emblem,3,70454,,
oral,0,70168,,
bright_pupils,0,70098,,
leg_up,0,69949,,
obi,0,69193,,
ring,0,69156,,
umbrella,0,68990,,
blush_stickers,0,68963,,
thick_eyebrows,0,68860,,
light_brown_hair,0,68610,,
military_uniform,0,68455,,
scrunchie,0,68383,,
black_leotard,0,68250,,
black_nails,0,68080,,
x_hair_ornament,0,67764,,
cardigan,0,67545,,
skirt_lift,0,67338,,
hood_down,0,66851,,
white_hat,0,66691,,
bound,0,66621,,
mouth_hold,0,66239,,
white_border,0,66115,,
blue_ribbon,0,65890,,
headgear,0,65716,,
crossed_legs,0,65547,,
sunlight,0,65424,,
stuffed_toy,0,65362,,
sharp_teeth,0,64971,,
wavy_mouth,0,64663,,
headband,0,64546,,
cellphone,0,64331,,
happy,0,64330,,
lifting_own_clothes,0,64326,,
flying_sweatdrops,0,64322,,
elf,0,64260,,
high_ponytail,0,64246,,
eyes_visible_through_hair,0,64153,,
honkai:_star_rail,3,64010,,
trembling,0,63783,,
table,0,63757,,
frilled_skirt,0,63732,,
tank_top,0,63634,,
topless,0,63532,,
white_apron,0,63436,,
horse_tail,0,63323,,
straddling,0,63271,,
no_humans,0,63085,,
frilled_sleeves,0,63059,,
